timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1551114736097,589,HTTP Request,200,OK,Thread Group 1-1,text,true,,1162997,145,1,1,https://www.trendyol.com/kedi-mamasi?qs=navigation,337,0,0
1551114736686,518,HTTP Request,200,OK,Thread Group 1-1,text,true,,1126923,143,1,1,https://www.trendyol.com/kedi-kumu?qs=navigation,272,0,0
1551114737204,585,HTTP Request,200,OK,Thread Group 1-1,text,true,,1158235,146,1,1,https://www.trendyol.com/kopek-mamasi?qs=navigation,330,0,0
1551114737789,684,HTTP Request,200,OK,Thread Group 1-1,text,true,,1130351,157,1,1,https://www.trendyol.com/kedi-mama-ve-su-kaplari?qs=navigation,447,0,29
1551114738473,1082,HTTP Request,200,OK,Thread Group 1-1,text,true,,1130253,156,1,1,https://www.trendyol.com/akvaryum-balik-yemleri?qs=navigation,852,0,0
1551114739555,539,HTTP Request,200,OK,Thread Group 1-1,text,true,,1129205,160,1,1,https://www.trendyol.com/akvaryum-bakim-malzemeleri?qs=navigation,308,0,0
1551114740094,139,HTTP Request,200,OK,Thread Group 1-1,text,true,,387081,142,1,1,https://www.trendyol.com/Butik/Liste/Elektronik,59,0,29
1551114740233,614,HTTP Request,200,OK,Thread Group 1-1,text,true,,1123550,152,1,1,https://www.trendyol.com/elektrikli-supurge?qs=navigation,364,0,0
1551114740847,570,HTTP Request,200,OK,Thread Group 1-1,text,true,,1111884,137,1,1,https://www.trendyol.com/utu?qs=navigation,344,0,0
1551114741417,612,HTTP Request,200,OK,Thread Group 1-1,text,true,,1115880,148,1,1,https://www.trendyol.com/kahve-makinesi?qs=navigation,388,0,0
1551114742029,622,HTTP Request,200,OK,Thread Group 1-1,text,true,,1112913,157,1,1,https://www.trendyol.com/blender-ve-blender-seti?qs=navigation,383,0,0
1551114742651,649,HTTP Request,200,OK,Thread Group 1-1,text,true,,1134468,144,1,1,https://www.trendyol.com/su-isitici?qs=navigation,428,0,31
1551114743300,545,HTTP Request,200,OK,Thread Group 1-1,text,true,,1114231,147,1,1,https://www.trendyol.com/tost-makinesi?qs=navigation,318,0,0
1551114743845,645,HTTP Request,200,OK,Thread Group 1-1,text,true,,1121278,148,1,1,https://www.trendyol.com/tiras-makinesi?qs=navigation,389,0,0
1551114744490,639,HTTP Request,200,OK,Thread Group 1-1,text,true,,1118973,154,1,1,https://www.trendyol.com/sac-kurutma-makinesi?qs=navigation,410,0,0
1551114745129,632,HTTP Request,200,OK,Thread Group 1-1,text,true,,1195234,150,1,1,https://www.trendyol.com/sac-duzlestirici?qs=navigation,390,0,29
1551114745761,607,HTTP Request,200,OK,Thread Group 1-1,text,true,,1129525,144,1,1,https://www.trendyol.com/sac-masasi?qs=navigation,381,0,0
1551114746368,735,HTTP Request,200,OK,Thread Group 1-1,text,true,,1189998,149,1,1,https://www.trendyol.com/epilasyon-aleti?qs=navigation,497,0,0
1551114747103,605,HTTP Request,200,OK,Thread Group 1-1,text,true,,1120365,146,1,1,https://www.trendyol.com/cep-telefonu?qs=navigation,358,0,0
1551114747708,653,HTTP Request,200,OK,Thread Group 1-1,text,true,,1125630,148,1,1,https://www.trendyol.com/kapak-ve-kilif?qs=navigation,413,0,32
1551114748361,673,HTTP Request,200,OK,Thread Group 1-1,text,true,,1122183,148,1,1,https://www.trendyol.com/sarj-cihazlari?qs=navigation,363,0,0
1551114749034,616,HTTP Request,200,OK,Thread Group 1-1,text,true,,1151556,153,1,1,https://www.trendyol.com/tasinabilir-batarya?qs=navigation,333,0,0
1551114749650,657,HTTP Request,200,OK,Thread Group 1-1,text,true,,1138719,140,1,1,https://www.trendyol.com/laptop?qs=navigation,349,0,0
1551114750307,623,HTTP Request,200,OK,Thread Group 1-1,text,true,,1121302,155,1,1,https://www.trendyol.com/mouse-mousepad+klavye?qs=navigation,382,0,29
1551114750930,596,HTTP Request,200,OK,Thread Group 1-1,text,true,,1132290,141,1,1,https://www.trendyol.com/monitor?qs=navigation,347,0,0
1551114751526,594,HTTP Request,200,OK,Thread Group 1-1,text,true,,1119610,140,1,1,https://www.trendyol.com/tablet?qs=navigation,332,0,0
